Roll,ID No.,Trd8,Fst11
153,1190153.0,Che,
154,1190154.0,Che,Che
155,1190155.0,,
156,1190156.0,Che,Che
157,1190157.0,,Che
158,1190158.0,,
159,1190159.0,Che,
160,1190160.0,Che,
162,1190162.0,Che,Che
165,1190165.0,,
167,1190167.0,Che,Che
168,1190168.0,Che,Che
169,1190169.0,,
170,1190170.0,Che,
171,1190171.0,,
172,1190172.0,,Che
172,1190172.0,,Che
174,1190174.0,,
175,1190175.0,,Che
177,1190177.0,,
179,1190179.0,,Che
181,1190181.0,,
182,1190182.0,,
184,1190184.0,,
186,1190186.0,,Che
188,1190188.0,,
189,1190189.0,,
190,1190190.0,,
191,1190191.0,,
192,1190192.0,,
193,1190193.0,,
194,1190194.0,,
197,1190197.0,Che,Che
199,1190199.0,,
202,1190202.0,Che,Che
204,1190204.0,,
206,1190206.0,Che,
208,1190208.0,Che,Che
209,1190209.0,,
210,1190210.0,Che,Che
212,1190212.0,Che,Che
216,1190216.0,,
217,1190217.0,,
218,1190218.0,,
221,1190221.0,Che,Che
222,1190222.0,,
223,1190223.0,Che,Che
224,1190224.0,Che,Che
225,1190225.0,,
229,1190229.0,,
230,1190230.0,,
231,1190231.0,,
232,1190232.0,,
235,1190235.0,,
236,1190236.0,,
238,1190238.0,,
241,1190241.0,,
242,1190242.0,Che,Che
243,1190243.0,,
245,1190245.0,Che,
246,1190246.0,,Che
249,1190249.0,Che,
250,1190250.0,,
252,1190252.0,,
254,1190254.0,,
253,1190253.0,,
256,1190256.0,,
258,1190258.0,,
259,1190259.0,,Che
260,1190260.0,,
263,1190263.0,,
264,1190264.0,,
267,1190267.0,,
274,1190274.0,,
276,1190276.0,,
277,1190277.0,,
279,1190279.0,,
280,1190280.0,,
234,,Che,
