Roll,College ID
170,02-20-0170
174,02-20-0174
177,02-20-0177
178,02-20-0178
182,02-20-0182
183,02-20-0183
190,02-20-0190
192,02-20-0192
193,02-20-0193
196,02-20-0196
201,02-20-0201
202,02-20-0202
203,02-20-0203
205,02-20-0205
206,02-20-0206
207,02-20-0207
209,02-20-0209
211,02-20-0211
212,02-20-0212
215,02-20-0215
219,02-20-0219
220,02-20-0220
223,02-20-0223
225,02-20-0225
227,02-20-0227
234,02-20-0234
246,02-20-0246
247,02-20-0247
248,02-20-0248
250,02-20-0250
260,02-20-0260
261,02-20-0261
262,02-20-0262
269,02-20-0269
270,02-20-0270
271,02-20-0271
274,02-20-0274
278,02-20-0278
282,02-20-0282
284,02-20-0284
297,02-20-0297
298,02-20-0298
299,02-20-0299
314,02-20-0314
316,02-20-0316
320,02-20-0320
322,02-20-0322
327,02-20-0327
328,02-20-0328
330,02-20-0330
332,02-20-0332
333,02-20-0333
342,02-20-0342
343,02-20-0343
345,02-20-0345
346,02-20-0346
347,02-20-0347
349,02-20-0349
351,02-20-0351
359,02-20-0359
361,02-20-0361
366,02-20-0366
367,02-20-0367
368,02-20-0368
369,02-20-0369
370,02-20-0370
379,02-20-0379
386,02-20-0386
387,02-20-0387
390,02-20-0390
399,02-20-0399
400,02-20-0400
