Roll,College ID
1,02-20-0001
2,02-20-0002
3,02-20-0003
5,02-20-0005
6,02-20-0006
10,02-20-0010
11,02-20-0011
12,02-20-0012
13,02-20-0013
14,02-20-0014
16,02-20-0016
18,02-20-0018
19,02-20-0019
20,02-20-0020
21,02-20-0021
22,02-20-0022
25,02-20-0025
31,02-20-0031
34,02-20-0034
35,02-20-0035
36,02-20-0036
38,02-20-0038
39,02-200039
41,02-20-0041
42,02-20-0042
43,02-20-0043
44,02-20-0044
46,02-20-0046
53,02-20-0053
55,02-20-0055
56,02-20-0056
57,02-20-0057
59,02-20-0059
60,02-20-0060
61,02-20-0061
62,02-20-0062
63,02-20-0063
65,02-20-0065
66,02-20-0066
67,02-20-0067
70,02-20-0070
75,02-20-0075
77,02-20-0077
78,02-20-0078
79,02-20-0079
80,02-20-0080
81,02-20-0081
82,02-20-0082
83,02-20-0083
88,02-20-0088
92,02-20-0092
94,02-20-0094
97,02-20-0097
98,02-20-0098
99,02-20-0099
105,02-20-0105
106,02-20-0106
107,02-20-0107
117,02-20-0117
120,02-20-0120
121,02-20-0121
122,02-20-0122
124,02-20-0124
127,02-20-0127
128,02-20-0128
131,02-20-0131
134,02-20-0134
138,02-20-0138
141,02-20-0141
143,02-20-0143
152,02-20-0152
157,02-20-0157
158,02-20-0158
159,02-20-0159
160,02-20-0160
165,02-20-0165
168,02-20-0168
169,02-20-0169
