Roll,College ID,Sub
4,02-20-0004,
7,02-20-0007,
8,02-20-0008,
9,02-20-0009,Ict
15,02-20-0015,
17,02-20-0017,
23,02-20-0023,
24,02-20-0024,Ict
26,02-20-0026,Ict
27,02-20-0027,
28,02-20-0028,Ict
29,02-20-0029,
30,02-20-0030,
32,02-20-0032,Ict
33,02-20-0033,
37,02-20-0037,
40,02-20-0040,
45,02-20-0045,
47,02-20-0047,
48,02-20-0048,
49,02-20-0049,
50,02-20-0050,
51,02-20-0051,
54,02-20-0054,Ict
58,02-20-0058,Ict
64,02-20-0064,
68,02-20-0068,
69,02-20-0069,Ict
71,02-20-0071,
72,02-20-0072,
73,02-20-0073,
74,02-20-0074,
76,02-20-0076,Ict
84,02-20-0084,Ict
85,02-20-0085,Ict
86,02-20-0086,
87,02-20-0087,
89,02-20-0089,
90,02-20-0090,Ict
91,02-20-0091,Ict
93,02-20-0093,
95,02-20-0095,Ict
96,02-20-0096,Ict
100,02-20-0100,Ict
101,02-20-0101,
102,02-20-0102,
103,02-20-0103,Ict
104,02-20-0104,Ict
108,02-20-0108,
109,02-20-0109,
110,02-20-0110,
111,02-20-0111,Ict
112,02-20-0112,
113,02-20-0113,
114,02-20-0114,
115,02-20-0115,
116,02-20-0116,
118,02-20-0118,
119,02-20-0119,Ict
125,02-20-0125,Ict
126,02-20-0126,
129,02-20-0129,
130,02-20-0130,
132,02-20-0132,
133,02-20-0133,
137,02-20-0137,
135,02-20-0135,Ict
136,02-20-0136,
139,02-20-0139,
140,02-20-0140,
142,02-20-0142,
144,02-20-0144,
145,02-20-0145,Ict
146,02-20-0146,Ict
147,02-20-0147,Ict
148,02-20-0148,Ict
149,02-20-0149,Ict
150,02-20-0150,Ict
151,02-20-0151,Ict
153,02-20-0153,Ict
154,02-20-0154,Ict
155,02-20-0155,Ict
156,02-20-0156,
