Roll,College ID
161,02-20-0161
162,02-20-0162
163,02-20-0163
164,02-20-0164
166,02-20-0166
167,02-20-0167
171,02-20-0171
172,02-20-0172
173,02-20-0173
176,02-20-0176
179,02-20-0179
180,02-20-0180
181,02-20-0181
184,02-20-0184
185,02-20-0185
187,02-20-0187
188,02-20-0188
189,02-20-0189
191,02-20-0191
194,02-20-0194
195,02-20-0195
197,02-20-0197
198,02-20-0198
199,02-20-0199
200,02-20-0200
204,02-20-0204
208,02-20-0208
213,02-20-0213
214,02-20-0214
216,02-20-0216
218,02-20-0218
222,02-20-0222
228,02-20-0228
229,02-20-0229
231,02-20-0231
232,02-20-0232
233,02-20-0233
235,02-20-0235
236,02-20-0236
237,02-20-0237
238,02-20-0238
239,02-20-0239
240,02-20-0240
241,02-20-0241
242,02-20-0242
243,02-20-0243
244,02-20-0244
245,02-20-0245
251,02-20-0251
252,02-20-0252
253,02-20-0253
254,02-20-0254
255,02-20-0255
256,02-20-0256
257,02-20-0257
258,02-20-0258
259,02-20-0259
260,02-20-0260
261,02-20-0261
263,02-20-0263
265,02-20-0265
266,02-20-0266
267,02-20-0267
268,02-20-0268
273,02-20-0273
275,02-20-0275
276,02-20-0276
277,02-20-0277
279,02-20-0279
280,02-20-0280
281,02-20-0281
283,02-20-0283
285,02-20-0285
286,02-20-0286
287,02-20-0287
288,02-20-0288
407,02-20-0407
