Roll,Id,Sub
289,02-20-0289,Ict
290,02-20-0290,Ict
291,02-20-0291,
293,02-20-0293,
294,02-20-0294,Ict
296,02-20-0296,
300,02-20-0300,
301,02-20-0301,
302,02-20-0302,
303,02-20-0303,
304,02-20-0304,Ict
306,02-20-0306,
307,02-20-0307,Ict
308,02-20-0308,Ict
309,02-20-0309,
310,02-20-0310,Ict
311,02-20-0311,
312,02-20-0312,Ict
313,02-20-0313,Ict
315,02-20-0315,
317,02-20-0317,Ict
318,02-20-0318,Ict
319,02-20-0319,Ict
321,02-20-0321,
323,02-20-0323,
324,02-20-0324,
325,02-20-0325,
326,02-20-0326,Ict
329,02-20-0329,
331,02-20-0331,
334,02-20-0334,
335,02-20-0335,
336,02-20-0336,
337,02-20-0337,Ict
338,02-20-0338,Ict
339,02-20-0339,
340,02-20-0340,Ict
341,02-20-0341,
344,02-20-0344,
348,02-20-0348,Ict
350,02-20-0350,
352,02-20-0352,
353,02-20-0353,Ict
354,02-20-0354,Ict
355,02-20-0355,
356,02-20-0356,
357,02-20-0357,Ict
358,02-20-0358,
360,02-20-0360,Ict
362,02-20-0362,Ict
363,02-20-0363,Ict
364,02-20-0364,
365,02-20-0365,
371,02-20-0371,Ict
372,02-20-0372,
373,02-20-0373,
374,02-20-0374,Ict
375,02-20-0375,
376,02-20-0376,
377,02-20-0377,Ict
378,02-20-0378,Ict
380,02-20-0380,
381,02-20-0381,
383,02-20-0383,
384,02-20-0384,Ict
385,02-20-0385,Ict
388,02-20-0388,Ict
389,02-20-0389,
391,02-20-0391,Ict
392,02-20-0392,
393,02-20-0393,
394,02-20-0394,Ict
396,02-20-0396,Ict
397,02-20-0397,Ict
398,02-20-0398,Ict
401,02-20-0401,Ict
402,02-20-0402,Ict
403,02-20-0403,
404,02-20-0404,Ict
405,02-20-0405,Ict
406,02-20-0406,
