Name,ICT_re
AR077JAHN,6
AR081NAJD,6
AR082JSTE,9
AR117MSND,11
AR121JEUD,5
AR128KSUE,13
AR152LKMD,10
AR159MSJD,8
AR160MDNF,11
AR169IEKD,9
DU095ERUR,8
DU101TURI,5
DU112URIE,5
DU115FHRE,8
DU116RYET,9
DU125UTYE,14
DU129FJDL,8
DU133CHSK,10
DU136KYWO,15
DU137JFKLS,13
DU144EIUW,10
DU150FKDD,11
DU151ERIU,14
DU153DFIO,12
DU154FDKL,13
DU155CVER,8
FL205YGDD,9
FL215RTEY,8
FL219GHHU,5
FL220FDRT,8
FL225UIHX,9
FL227EUBJ,7
fl261srhn,11
FL270FGDR,10
FL271HCGH,9
FL278JKSU,10
LU020NCVB,11
LU021DJYF,10
LU031DJFG,10
LU043VNMF,13
LU055VFDJ,7
LU056DRYJ,13
LU063VGFR,10
NE235KRJF,7
NE238MXHD,8
NE252KDMF,12
NE276NDMS,14
NE279MNDC,12
NE286NDKR,8
NU004DHJS,10
NU009REYG,14
NU015FGFT,10
NU023TRHE,8
NU029TEAM,9
Nu033cvff,9
NU045REGD,7
NU047FDHR,12
NU048VGFE,13
NU058LLOP,11
NU064BCXD,11
NU068GFFD,10
NU069GTRE,15
NU084VFTr,9
PA162HDNF,7
PA167NDMF,5
PA171KMDJ,5
PA179KMDJ,11
PA181LMKJ,7
PA188MDJF,12
PA194KLDS,5
PA208NDMS,11
PA218HDJS,9
PA229HFDN,14
PL293UEJD,8
PL301KSJD,7
PL304MFND,9
Pl307KDJS,14
PL312NVMD,9
PL317JDHS,12
PL318KJSA,8
PL331JAGY,3
PL334KLDS,12
PL341MANS,7
PL406KORI,10
UR284RIOE,8
UR299LSFJ,11
UR328HRGM,13
UR332FJKB,6
UR347CGHI,10
UR349Duuj,6
UR350SFRG,10
UR355ERVD,7
UR357REGE,9
UR359CDTH,10
UR362ETLO,6
UR363MHTJ,11
UR365LHJT,14
UR376FBFR,12
UR381POER,8
UR385IREO,13
ur393dfnm,8
UR394EITU,11
UR398ADSF,7
UR401EIOF,12
UR404JKDE,11
