Name,Start Datetime,End Datetime,Time,Percent,Points Earned,Points Possible,বিভূতিভূষণ বন্দ্যোপাধ্যায়ের জন্ম সাল কত?,বিভূতিভূষণের উপন্যাসে ফুটে উঠেছে- প্রাকৃতিক সৌন্দর্যের নানা রূপরেখা নাগরিক জীবনের দুঃখ- কষ্ট মানুষের সহজ-সরল জীবনচিত্র নিচের কোনটি ঠিক?,আম আঁটির ভেঁপু গল্পটি কীসের আখ্যান নিয়ে রচিত হয়েছে?,অপুর টিনের ভেঁপু বাঁশির দাম কত ছিল?,সহজ- সরল প্রকাশভঙ্গি কার রচনার বৈশিষ্ট্য?,মহানবীর মানবপ্রেম প্রকাশ পায়- i.মানুষের প্রতি ভালোবাসা প্রদর্শনের জন্য ii. পৌত্তলিকদের ক্ষমা করে দেওয়ার জন্য iii. হুদায়বিহার সন্ধি মেনে নেওয়ার জন্য নিচের কোনটি ঠিক?,'মসীময়' শব্দের অর্থ কী?,"'আমি রাজা নই, সম্রাট নই,মারুষের প্রভু নই। আমি এমন এক নারীর সন্তান, সাধারণ শুষ্ক মাংসই যাহার নিত্যকার আহার্য।' এ বক্তব্যে হযরত মুহাম্মদ (স) এর চরিত্রের যে দিকটি ফুটে উঠেছে? i. নিরহংকার ii. বিচক্ষণতা iii. সত্যনিষ্ঠ নিচের কোনটি ঠিক?",মোতাহের হোসেন চৌধুরী কোন পত্রিকার সাথে যুক্ত ছিলেন?,কারারুদ্ধ আহারতৃপ্ত মানুষের মূল্যবোধ কতটুকু?_ এই মানুষ কারা?,'শিক্ষা ও মনুষ্যত্ব' প্রবন্ধে লেখক শিক্ষার দিক ফুটিয়ে তুলেছেন নিচের কোন বিষটির মাধ্যমে?,শিক্ষার অপ্রয়োজনীয় দিক প্রকৃতপক্ষে কি শিক্ষা দেয়?,'নিগড়' শব্দের অর্থ কী?,নিচের কোনটি মাইকেল মধুসূদন দত্তের রচনা নয়?,'কপোতাক্ষ নদ' কবিতায় প্রকাশ পেয়েছে-,"'কপোতাক্ষ নদ' কবিতায় কবির সীমাহীন দেশপ্রেম ফুটে উঠেছে নিচের যে পঙক্তিতে- i.সতত, হে নদ, তুমি পড় মোর মনে ii. দগ্ধ-স্রোতরুপী তুমি জন্মভূমি-স্তনে iii. লইছে যে তব নাম বঙ্গের সংগীতে নিচের কোনটি ঠিক?",ষটকে কি থাকে?,' রাজবন্দির জবানবন্দি ' হলো কাজী নজরুল ইসলাম রচিত-,"চেঙ্গিস, গজনি মামুদ, কালাপাহাড় হলেন –",দেবতার বরে রাজা হওয়ার আশায় দরজা খুললেও পথিককে দেখে বন্ধ করে দেওয়ার মধ্যে প্রকাশিত হয়েছে পূজারীর- i. লোভ ii. মনুষ্যত্ব iii. স্বার্থপরতা নিচের কোনটি ঠিক,'আজারির চিন ' শব্দের অর্থ কী?,বাশঁবনে বসে কোন পাখি ডাকে?,'পল্লিজননী' কবিতায় নিবু নিবু দ্বীপকে কার সাথে তুলনা করা হয়েছে?,"'বলেছে আমরা,মোসলমানের আড়ঙ দেখিতে নাই'- এ বাক্যে প্রকাশিত হয়েছে i. গ্রামবাংলায় ফতোয়ার অপপ্রয়োগ ii. বাঙ্গালী মুসলমান পরিবারের ধর্মীয় অনুশাসন iii. পল্লিজননীর অর্থনৈতিক অসামর্থ্যতা নিচের কোনটি ঠিক?",'পল্লিজননী' কবিতায় রগ্ ন ছেলের গালকে কীসের সাথে তুলনা করা হয়েছে?,উপন্যাস অপেক্ষাকৃত কোন কালের সৃষ্টি?,কাকতাড়ুয়া সেজে কাঠফাটা রোদে দাঁড়িয়ে থাকলে বুধার মাথায় কিসের ছায়া নেমে আসে?,শাহাবুদ্দিন- i. মুক্তিযোদ্ধা কমান্ডার ii. আর্ট কলেজের ছাত্র iii. দেশপ্রেমিক নিচের কোনটি ঠিক?,কে বুধাকে 'আশ্চর্য বীর কাকতাড়ুয়া' বলেছেন?,শান্তি কমিটির চেয়ারম্যান কে?
T01190001viru,2021-06-15 17:05:22+06:00,2021-06-15 17:37:27+06:00,0:32:03,67,20.00,30.00,1.00,1.00,1.00,1.00,0,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,0,0,1.00,0,1.00
T01190003TREK,2021-06-15 17:02:30+06:00,2021-06-15 17:37:33+06:00,0:30:49,37,11.00,30.00,1.00,1.00,1.00,0,1.00,0,0,0,0,0,0,1.00,0,1.00,1.00,0,0,0,1.00,0,0,0,0,0,0,1.00,0,1.00,1.00,0
T011900051mimA,2021-06-15 17:17:04+06:00,2021-06-15 17:46:50+06:00,0:17:44,27,8.00,30.00,0,0,1.00,0,1.00,1.00,0,0,0,1.00,0,0,0,0,0,1.00,0,1.00,0,0,0,1.00,0,0,0,0,0,0,0,1.00
T01190008fuad,2021-06-15 17:02:48+06:00,2021-06-15 17:37:50+06:00,0:33:27,87,26.00,30.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190009ZooM,2021-06-15 17:01:38+06:00,2021-06-15 17:21:37+06:00,0:19:50,83,25.00,30.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190010TROY,2021-06-15 17:00:20+06:00,2021-06-15 17:26:54+06:00,0:26:19,80,24.00,30.00,1.00,0,1.00,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190011muki,2021-06-15 17:02:19+06:00,2021-06-15 17:36:41+06:00,0:33:39,67,20.00,30.00,1.00,0,1.00,1.00,0,0,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,0,1.00
T01190012ridv,2021-06-15 17:03:40+06:00,2021-06-15 17:32:43+06:00,0:28:57,83,25.00,30.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190013ratu,2021-06-15 17:03:36+06:00,2021-06-15 17:31:45+06:00,0:28:02,70,21.00,30.00,1.00,1.00,0,1.00,1.00,0,0,1.00,1.00,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190014HLCD,2021-06-15 17:01:14+06:00,2021-06-15 17:10:41+06:00,0:09:27,70,21.00,30.00,1.00,0,0,1.00,0,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190016PUBG,2021-06-15 17:02:51+06:00,2021-06-15 17:37:46+06:00,0:33:26,60,18.00,30.00,1.00,1.00,0,1.00,1.00,0,1.00,0,1.00,0,0,1.00,1.00,1.00,0,0,1.00,1.00,0,1.00,0,1.00,1.00,0,1.00,1.00,0,1.00,1.00,0
T01190018SOGO,2021-06-15 17:00:30+06:00,2021-06-15 17:35:23+06:00,0:34:42,77,23.00,30.00,1.00,1.00,1.00,1.00,0,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
