Name,Start Datetime,End Datetime,Time,Percent,Points Earned,Points Possible,"Writing letters is a part of our social activities. It is  —– form of communication, which plays a vital role in our practical life.",In a society all men are not equally well —–.,Some people are rich and some are very poor. This is because of —– unequal distribution of national wealth.,Many people are deprived  —– the basic needs of life.,They must be provided —– their dues.,The rich always draw a line of contrast —– themselves and the poor.,Most of the rich people look down —– the poor.,They should be —– and then humanity should be improved.,Man has an unquenchable thirst —– knowledge.,He is never satisfied —– what he has known and seen.,"To acquire knowledge, man set out —– travelling.",But it needs a lot of money and —–.,They are capable of earning  – knowledge.,Present world is very —.,You need to be competent — facing the challenge of competition.,As a student you have to — concentrate on your study.,You can’t remain callous — your study.,"If the students of a country don’t acquire true education, there — be no development for the country.",You must utilize your time. Nothing can compensate — your loss of losing time.,There is no — that hard work contributes to make a good result.,The world is getting — because of pollution.,Every year millions of people all over the world die as a result of —.,In the recent years there have been alarming reports that the world’s climate — undergoing a significant change.,All these reports provide strong evidence thet world temperature is __ day by day.,Climatologists — that midway through the next century temperatures may have risen as much as 40C.,This could raise sea levels and — flood coastal areas and farmlands.,Aleya works in a big garment factory. One day she was busy at her work as usual. Suddenly she  — fire; fire.,She  — off from her work and started running .,"As ill news — apace, the news spread very fast among the workers.",Aleya got terribly — and tried frantically to come out of the factory but in vain.
T01190001viru,2021-06-21 17:32:02+06:00,2021-06-21 17:56:38+06:00,0:22:26,90,27.00,30.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00
T01190003TREK,2021-06-21 17:45:52+06:00,2021-06-21 17:58:23+06:00,0:11:44,93,28.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T011900051mima,2021-06-21 17:31:44+06:00,2021-06-21 17:40:46+06:00,0:08:19,37,11.00,30.00,0,1.00,0,0,0,1.00,0,1.00,0,0,0,0,1.00,0,0,0,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,0,0,0,0,1.00
T01190010TROY,2021-06-21 17:30:44+06:00,2021-06-21 17:56:47+06:00,0:23:49,83,25.00,30.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0
T01190012ridv,2021-06-21 17:37:27+06:00,2021-06-21 18:09:13+06:00,0:31:02,77,23.00,30.00,0,1.00,0,1.00,1.00,1.00,0,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190013ratu,2021-06-21 17:47:37+06:00,2021-06-21 18:08:07+06:00,0:19:43,60,18.00,30.00,0,1.00,0,1.00,1.00,1.00,0,0,1.00,1.00,0,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,0,1.00,1.00,0,0
T01190014HLCD,2021-06-21 17:30:42+06:00,2021-06-21 17:40:57+06:00,0:09:30,63,19.00,30.00,0,0,0,1.00,1.00,0,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,0,0,1.00
T01190016PUBG,2021-06-21 17:32:04+06:00,2021-06-21 17:58:39+06:00,0:25:02,53,16.00,30.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,0,1.00,0,1.00,1.00,0,1.00,0,0,0,1.00,0,1.00,0,0,1.00,0,0,1.00
T01190018SOGO,2021-06-21 17:30:35+06:00,2021-06-21 18:02:18+06:00,0:30:27,87,26.00,30.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00
T01190020MNHZ,2021-06-21 17:31:55+06:00,2021-06-21 17:58:02+06:00,0:25:19,80,24.00,30.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,0,1.00,1.00,0,1.00
T01190021hlcf,2021-06-21 17:36:05+06:00,2021-06-21 17:52:25+06:00,0:15:10,43,13.00,30.00,0,0,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,0,0,0,1.00,0,1.00,0,0,0,0,0,0
T01190023taha,2021-06-21 17:30:34+06:00,2021-06-21 18:00:38+06:00,0:28:47,77,23.00,30.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,0,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00
T01190026MASM,2021-06-21 17:41:59+06:00,2021-06-21 17:57:21+06:00,0:14:30,83,25.00,30.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00
T01190027MDAD,2021-06-21 17:38:24+06:00,2021-06-21 18:02:28+06:00,0:21:24,57,17.00,30.00,0,0,1.00,1.00,0,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,0,1.00,0,0,1.00
T01190028vabi,2021-06-21 17:30:32+06:00,2021-06-21 17:45:23+06:00,0:14:14,80,24.00,30.00,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00
T01190029HLCD,2021-06-21 17:34:51+06:00,2021-06-21 17:43:53+06:00,0:06:14,67,20.00,30.00,0,1.00,1.00,0,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0,0,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00
T01190032come,2021-06-21 17:30:55+06:00,2021-06-21 17:47:51+06:00,0:16:01,50,15.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,1.00,0,0,0,1.00,0,0,0,0,1.00,1.00,1.00,0,0,1.00,0,0,0,1.00,1.00
T01190033faru,2021-06-21 17:42:43+06:00,2021-06-21 17:56:41+06:00,0:13:05,77,23.00,30.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00
T01190035MSRM,2021-06-21 17:46:21+06:00,2021-06-21 18:00:09+06:00,0:13:16,90,27.00,30.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0
T01190036MSMC,2021-06-21 17:31:31+06:00,2021-06-21 17:39:56+06:00,0:06:59,80,24.00,30.00,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00
T01190039TTTT,2021-06-21 17:32:30+06:00,2021-06-21 17:57:53+06:00,0:24:14,53,16.00,30.00,0,1.00,1.00,0,0,1.00,0,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,0,0,1.00,1.00,0,1.00,0,0,0,1.00,0,1.00
T01190043BINA,2021-06-21 17:33:33+06:00,2021-06-21 17:56:01+06:00,0:21:42,67,20.00,30.00,1.00,1.00,0,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,0,1.00,1.00,0,1.00,0,1.00,1.00,1.00,0,1.00
T01190044siam,2021-06-21 17:30:41+06:00,2021-06-21 17:47:08+06:00,0:14:48,43,13.00,30.00,1.00,1.00,1.00,0,1.00,1.00,0,0,0,1.00,0,1.00,0,1.00,1.00,0,1.00,1.00,0,1.00,0,1.00,0,0,0,0,0,0,0,0
