Name,BAN,ENG,ICT,Phy,Che,Bio,Math
ar070akjs,14.0,13.0,8.0,4.0,9.0,,10.0
AR075SJDK,15.0,12.0,8.0,7.0,9.0,18.0,9.0
AR077JAHN,15.0,5.0,6.0,6.0,6.0,6.0,4.0
AR078HSYB,18.0,11.0,8.0,8.0,7.0,16.0,8.0
AR079JURH,19.0,18.0,12.0,10.0,11.0,14.0,6.0
AR080HKSN,17.0,17.0,11.0,18.0,17.0,18.0,18.0
AR081NAJD,9.0,10.0,3.0,6.0,6.0,11.0,6.0
AR082JSTE,11.0,9.0,,7.0,,,4.0
AR083GAFS,13.0,15.0,9.0,17.0,18.0,15.0,19.0
AR088GSBB,15.0,15.0,9.0,11.0,16.0,15.0,5.0
AR092SYBW,19.0,13.0,11.0,7.0,14.0,17.0,8.0
AR094GAHS,16.0,14.0,10.0,10.0,11.0,16.0,6.0
AR097HSGE,15.0,10.0,,8.0,9.0,15.0,
AR099LAKS,16.0,13.0,12.0,14.0,15.0,16.0,14.0
AR105JSGD,13.0,11.0,7.0,6.0,,15.0,5.0
AR106DJHR,16.0,17.0,10.0,13.0,10.0,13.0,9.0
AR107JSHE,19.0,18.0,8.0,9.0,18.0,18.0,15.0
AR117MSND,14.0,13.0,6.0,9.0,11.0,14.0,10.0
AR120LAKS,16.0,17.0,12.0,9.0,13.0,12.0,8.0
AR121JEUD,16.0,6.0,4.0,14.0,11.0,13.0,11.0
AR122HEYD,12.0,12.0,8.0,9.0,10.0,15.0,13.0
AR124SYWH,14.0,16.0,10.0,18.0,16.0,14.0,18.0
AR127LKMS,17.0,9.0,13.0,7.0,12.0,16.0,6.0
AR128KSUE,19.0,12.0,4.0,10.0,14.0,16.0,13.0
AR131OELD,19.0,13.0,14.0,14.0,11.0,17.0,13.0
AR134LDKF,15.0,13.0,14.0,7.0,12.0,18.0,8.0
AR138HSND,17.0,10.0,9.0,10.0,12.0,17.0,6.0
AR143NSMD,11.0,10.0,5.0,7.0,17.0,14.0,5.0
AR152LKMD,17.0,12.0,6.0,10.0,11.0,14.0,16.0
AR157JWHS,,,10.0,10.0,12.0,8.0,10.0
AR158JDNF,15.0,20.0,11.0,11.0,18.0,18.0,15.0
AR159MSJD,14.0,7.0,3.0,13.0,14.0,13.0,17.0
AR160MDNF,10.0,14.0,7.0,,,14.0,11.0
AR165NSHD,18.0,,14.0,8.0,15.0,13.0,8.0
AR168NDHF,,14.0,12.0,,,8.0,
AR169IEKD,12.0,9.0,7.0,,8.0,,
DU095ERUR,18.0,16.0,8.0,11.0,10.0,14.0,13.0
du100fkll,10.0,10.0,5.0,9.0,6.0,,6.0
DU101TURI,16.0,9.0,7.0,10.0,13.0,15.0,7.0
DU103DFLG,16.0,11.0,14.0,15.0,13.0,16.0,11.0
DU104DFKG,17.0,12.0,10.0,9.0,11.0,11.0,5.0
DU108GRBK,14.0,14.0,9.0,11.0,10.0,6.0,6.0
DU109BMGD,7.0,8.0,4.0,5.0,6.0,2.0,7.0
DU110DFGH,16.0,14.0,15.0,13.0,15.0,,17.0
DU111DIUI,17.0,13.0,10.0,15.0,13.0,15.0,9.0
DU112URIE,,12.0,5.0,8.0,10.0,,9.0
DU113RIOE,16.0,12.0,9.0,9.0,12.0,17.0,9.0
du114fdds,13.0,16.0,12.0,9.0,13.0,14.0,15.0
DU115FHRE,11.0,14.0,7.0,8.0,14.0,14.0,11.0
DU116RYET,16.0,,7.0,16.0,17.0,18.0,15.0
DU118GJKS,14.0,,7.0,,11.0,8.0,3.0
DU119EUIE,16.0,,10.0,9.0,9.0,15.0,11.0
DU125UTYE,20.0,17.0,,10.0,12.0,14.0,7.0
DU126KIYT,19.0,12.0,8.0,9.0,,10.0,14.0
DU129FJDL,14.0,8.0,5.0,10.0,11.0,16.0,12.0
DU132DYUS,15.0,9.0,9.0,16.0,17.0,18.0,11.0
DU133CHSK,18.0,9.0,6.0,5.0,8.0,13.0,6.0
DU135RIUE,14.0,12.0,11.0,15.0,12.0,,13.0
DU136KYWO,17.0,10.0,,10.0,10.0,12.0,
DU137JFKLS,,15.0,7.0,16.0,13.0,16.0,17.0
DU139DSKJ,8.0,4.0,8.0,,,,
DU140DSJK,11.0,,8.0,6.0,10.0,5.0,
DU142CMBX,12.0,11.0,8.0,8.0,9.0,6.0,5.0
DU144EIUW,18.0,,,17.0,,14.0,
DU145UEIW,17.0,14.0,14.0,5.0,12.0,15.0,5.0
DU146FJKK,18.0,11.0,8.0,4.0,13.0,16.0,11.0
DU147EIOW,16.0,12.0,12.0,3.0,10.0,13.0,7.0
DU148CJIE,18.0,15.0,8.0,17.0,16.0,14.0,18.0
DU149YUEI,13.0,16.0,13.0,,16.0,16.0,12.0
DU150FKDD,12.0,13.0,6.0,7.0,8.0,7.0,5.0
DU151ERIU,16.0,15.0,,,13.0,18.0,
DU153DFIO,16.0,11.0,,11.0,8.0,13.0,7.0
DU154FDKL,17.0,15.0,,9.0,11.0,14.0,15.0
DU155CVER,18.0,11.0,6.0,7.0,11.0,13.0,5.0
DU156HERO,16.0,12.0,10.0,9.0,11.0,12.0,
FL177DFBD,16.0,16.0,8.0,13.0,8.0,15.0,14.0
FL178NMFF,17.0,17.0,14.0,11.0,16.0,17.0,12.0
FL182DFJD,16.0,15.0,17.0,14.0,13.0,,12.0
FL183RIOE,17.0,13.0,11.0,15.0,18.0,13.0,15.0
FL190EPIE,17.0,17.0,9.0,6.0,12.0,17.0,6.0
FL193RTRE,17.0,17.0,13.0,18.0,16.0,18.0,17.0
FL196REAA,12.0,9.0,10.0,7.0,5.0,13.0,5.0
FL201EWQD,16.0,,8.0,8.0,13.0,9.0,5.0
FL202XSAA,16.0,19.0,8.0,11.0,19.0,12.0,16.0
FL203HGJK,17.0,16.0,11.0,6.0,14.0,12.0,8.0
FL205YGDD,15.0,14.0,5.0,14.0,19.0,7.0,16.0
FL206DHRD,,,6.0,5.0,,,
FL207HGIL,12.0,8.0,9.0,6.0,10.0,7.0,7.0
FL211NMVV,17.0,,8.0,17.0,18.0,17.0,16.0
FL212HJHJ,19.0,18.0,13.0,8.0,13.0,19.0,5.0
FL215RTEY,15.0,9.0,,7.0,2.0,3.0,14.0
FL219GHHU,16.0,6.0,6.0,11.0,11.0,17.0,8.0
FL220FDRT,13.0,9.0,6.0,6.0,12.0,13.0,5.0
FL223GCHU,19.0,14.0,9.0,7.0,12.0,16.0,5.0
FL225UIHX,17.0,11.0,6.0,7.0,10.0,13.0,8.0
FL227EUBJ,11.0,12.0,4.0,14.0,15.0,11.0,16.0
FL234SETI,15.0,15.0,12.0,13.0,19.0,16.0,12.0
FL246JKKU,16.0,15.0,11.0,8.0,12.0,14.0,10.0
FL247MNBG,16.0,14.0,11.0,7.0,10.0,12.0,8.0
FL248RDTR,16.0,17.0,15.0,8.0,11.0,13.0,9.0
FL250JFST,15.0,15.0,12.0,6.0,13.0,17.0,9.0
FL260NMJI,17.0,12.0,9.0,11.0,11.0,15.0,6.0
fl261srhn,15.0,15.0,4.0,6.0,9.0,11.0,9.0
FL262XDSA,17.0,17.0,11.0,8.0,14.0,18.0,6.0
FL269MHUV,13.0,12.0,8.0,17.0,13.0,7.0,18.0
FL270FGDR,17.0,16.0,6.0,17.0,18.0,18.0,16.0
FL271HCGH,14.0,11.0,,,9.0,,7.0
FL274FHDK,19.0,15.0,11.0,,,,
FL278JKSU,17.0,15.0,5.0,,12.0,14.0,13.0
FL282FSEQ,15.0,14.0,8.0,8.0,6.0,13.0,
LU001URTY,15.0,9.0,,,,,
LU002FJHJ,18.0,15.0,12.0,17.0,14.0,16.0,8.0
LU003NCBJ,17.0,17.0,9.0,5.0,15.0,15.0,18.0
LU005DJKH,15.0,14.0,9.0,7.0,7.0,10.0,7.0
LU006HURE,18.0,17.0,16.0,18.0,16.0,19.0,20.0
LU010DUIW,16.0,18.0,17.0,,16.0,18.0,11.0
LU011FVHU,16.0,17.0,15.0,14.0,14.0,18.0,11.0
LU012CNBV,16.0,7.0,9.0,12.0,13.0,14.0,9.0
LU013RIUR,18.0,16.0,9.0,13.0,12.0,8.0,6.0
LU014DUIR,15.0,,9.0,13.0,16.0,17.0,14.0
